year_month,week,litres,num_suppliers,grass_growth,CARLOW (OAK PARK),CAVAN (DRUMCONNICK),SHANNON AIRPORT,CORK AIRPORT,MALIN HEAD,CASEMENT Aerodrome,DUBLIN AIRPORT,MACE HEAD,CLOOSH,VALENTIA OBSERVATORY,ATHY (CHANTERLANDS),PILTOWN (KILDALTON AGR COLL ),THOMASTOWN (MT JULIET),SLIEVE BLOOM MTS (NEALSTOWN),BALLINAMORE,MOUNT RUSSELL,ARDEE (BOHARNAMOE),BELMULLET,CLAREMORRIS,KNOCK AIRPORT,NEWPORT,DUNSANY,CARRICKMACROSS (DUNOGE),DERRYGREENAGH,MOUNTDILLON,ELPHIN,ARDTARMON,FETHARD (PARSONSHILL),WATERFORD (TYCOR),MULLINGAR,JFK PARK,JOHNSTOWN CASTLE,GLENEALY (KILMACURRAGH PK),Total cattle,Dairy cows,Other cows,Bulls,Cattle male:  2 years and over,Cattle female:  2 years and over,Cattle male:  1-2 years,Cattle female:  1-2 years,Cattle male:  under 1 year,Cattle female:  under 1 year,Total cattle male,Total cattle female ,Belgium_milk_price,Bulgaria_milk_price,Czech Rep_milk_price,Denmark_milk_price,Germany_milk_price,Estonia_milk_price,Ireland_milk_price,Greece_milk_price,Spain_milk_price,France_milk_price,Croatia_milk_price,Italy_milk_price,Cyprus_milk_price,Latvia_milk_price,Lihtuania_milk_price,Luxembourg_milk_price,Hungary_milk_price,Malta_milk_price,Netherlands_milk_price,Austria_milk_price,Poland_milk_price,Portugal_milk_price,Romania_milk_price,Slovenia_milk_price,Slovakia_milk_price,Finland_milk_price,Sweden_milk_price,EU_milk_price_without UK,UK_milk_price,EU_UK,feed_bag,feed_bulk,feed_ex_port,feed_totals
200901,1,1358567,750.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,24.99,29.25,23.04,30.47,26.0,24.27,27.6,40.63,33.11,34.62,,33.73,51.31,23.02,19.4,31.56,23.57,,28.64,33.17,22.27,32.5,23.2,30.41,24.39,44.32,25.92,,26.98,29.37,4876.0,6898.0,,11774.0
200901,2,2874970,811.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,24.99,29.25,23.04,30.47,26.0,24.27,27.6,40.63,33.11,34.62,,33.73,51.31,23.02,19.4,31.56,23.57,,28.64,33.17,22.27,32.5,23.2,30.41,24.39,44.32,25.92,,26.98,29.37,4876.0,6898.0,,11774.0
200901,3,2996894,829.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,24.99,29.25,23.04,30.47,26.0,24.27,27.6,40.63,33.11,34.62,,33.73,51.31,23.02,19.4,31.56,23.57,,28.64,33.17,22.27,32.5,23.2,30.41,24.39,44.32,25.92,,26.98,29.37,4876.0,6898.0,,11774.0
200901,4,3015215,896.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,24.99,29.25,23.04,30.47,26.0,24.27,27.6,40.63,33.11,34.62,,33.73,51.31,23.02,19.4,31.56,23.57,,28.64,33.17,22.27,32.5,23.2,30.41,24.39,44.32,25.92,,26.98,29.37,4876.0,6898.0,,11774.0
200902,5,3279291,1098.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,23.21,27.78,21.12,29.52,25.2,22.91,26.15,39.78,32.38,33.6,,32.75,51.85,21.33,18.45,29.72,21.22,,27.34,33.14,20.28,32.5,22.0,29.23,21.39,44.21,26.85,,26.89,28.42,5966.0,13343.0,,19309.0
200902,6,3940468,1561.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,23.21,27.78,21.12,29.52,25.2,22.91,26.15,39.78,32.38,33.6,,32.75,51.85,21.33,18.45,29.72,21.22,,27.34,33.14,20.28,32.5,22.0,29.23,21.39,44.21,26.85,,26.89,28.42,5966.0,13343.0,,19309.0
200902,7,5213261,2135.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,23.21,27.78,21.12,29.52,25.2,22.91,26.15,39.78,32.38,33.6,,32.75,51.85,21.33,18.45,29.72,21.22,,27.34,33.14,20.28,32.5,22.0,29.23,21.39,44.21,26.85,,26.89,28.42,5966.0,13343.0,,19309.0
200902,8,7476269,2671.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,23.21,27.78,21.12,29.52,25.2,22.91,26.15,39.78,32.38,33.6,,32.75,51.85,21.33,18.45,29.72,21.22,,27.34,33.14,20.28,32.5,22.0,29.23,21.39,44.21,26.85,,26.89,28.42,5966.0,13343.0,,19309.0
200902,9,10181554,3080.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,23.21,27.78,21.12,29.52,25.2,22.91,26.15,39.78,32.38,33.6,,32.75,51.85,21.33,18.45,29.72,21.22,,27.34,33.14,20.28,32.5,22.0,29.23,21.39,44.21,26.85,,26.89,28.42,5966.0,13343.0,,19309.0
200903,10,12098056,3345.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.95,24.62,21.74,27.38,24.0,21.1,22.45,38.64,30.5,30.93,,31.81,51.87,18.9,17.19,28.06,20.4,,22.59,31.76,20.46,31.7,20.0,28.09,18.72,36.92,23.48,,25.79,26.47,4549.0,10163.0,,14712.0
200903,11,13469608,3491.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.95,24.62,21.74,27.38,24.0,21.1,22.45,38.64,30.5,30.93,,31.81,51.87,18.9,17.19,28.06,20.4,,22.59,31.76,20.46,31.7,20.0,28.09,18.72,36.92,23.48,,25.79,26.47,4549.0,10163.0,,14712.0
200903,12,16348590,3573.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.95,24.62,21.74,27.38,24.0,21.1,22.45,38.64,30.5,30.93,,31.81,51.87,18.9,17.19,28.06,20.4,,22.59,31.76,20.46,31.7,20.0,28.09,18.72,36.92,23.48,,25.79,26.47,4549.0,10163.0,,14712.0
200903,13,19454539,3627.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.95,24.62,21.74,27.38,24.0,21.1,22.45,38.64,30.5,30.93,,31.81,51.87,18.9,17.19,28.06,20.4,,22.59,31.76,20.46,31.7,20.0,28.09,18.72,36.92,23.48,,25.79,26.47,4549.0,10163.0,,14712.0
200904,14,10854859,3635.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.6,24.4,22.04,26.31,23.0,20.2,22.34,37.97,28.8,23.58,,29.64,50.94,16.85,16.66,26.95,19.85,,22.6,29.45,21.05,28.8,20.0,25.97,17.68,36.87,24.43,,25.11,24.48,3424.0,8297.0,,11721.0
200904,15,23623477,3711.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.6,24.4,22.04,26.31,23.0,20.2,22.34,37.97,28.8,23.58,,29.64,50.94,16.85,16.66,26.95,19.85,,22.6,29.45,21.05,28.8,20.0,25.97,17.68,36.87,24.43,,25.11,24.48,3424.0,8297.0,,11721.0
200904,16,24546215,3728.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.6,24.4,22.04,26.31,23.0,20.2,22.34,37.97,28.8,23.58,,29.64,50.94,16.85,16.66,26.95,19.85,,22.6,29.45,21.05,28.8,20.0,25.97,17.68,36.87,24.43,,25.11,24.48,3424.0,8297.0,,11721.0
200904,17,26223748,3755.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.6,24.4,22.04,26.31,23.0,20.2,22.34,37.97,28.8,23.58,,29.64,50.94,16.85,16.66,26.95,19.85,,22.6,29.45,21.05,28.8,20.0,25.97,17.68,36.87,24.43,,25.11,24.48,3424.0,8297.0,,11721.0
200905,18,26156239,3757.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.91,24.31,21.92,25.91,22.4,19.76,22.14,37.34,27.48,26.28,,30.44,50.76,15.71,15.69,24.98,20.39,,21.56,28.08,21.02,28.4,20.84,24.71,17.67,36.51,24.64,,22.61,24.39,4480.0,11751.0,,16231.0
200905,19,27159275,3761.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.91,24.31,21.92,25.91,22.4,19.76,22.14,37.34,27.48,26.28,,30.44,50.76,15.71,15.69,24.98,20.39,,21.56,28.08,21.02,28.4,20.84,24.71,17.67,36.51,24.64,,22.61,24.39,4480.0,11751.0,,16231.0
200905,20,27674122,3767.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.91,24.31,21.92,25.91,22.4,19.76,22.14,37.34,27.48,26.28,,30.44,50.76,15.71,15.69,24.98,20.39,,21.56,28.08,21.02,28.4,20.84,24.71,17.67,36.51,24.64,,22.61,24.39,4480.0,11751.0,,16231.0
200905,21,27479414,3770.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.91,24.31,21.92,25.91,22.4,19.76,22.14,37.34,27.48,26.28,,30.44,50.76,15.71,15.69,24.98,20.39,,21.56,28.08,21.02,28.4,20.84,24.71,17.67,36.51,24.64,,22.61,24.39,4480.0,11751.0,,16231.0
200905,22,27579823,3776.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.91,24.31,21.92,25.91,22.4,19.76,22.14,37.34,27.48,26.28,,30.44,50.76,15.71,15.69,24.98,20.39,,21.56,28.08,21.02,28.4,20.84,24.71,17.67,36.51,24.64,,22.61,24.39,4480.0,11751.0,,16231.0
200906,23,27519694,3778.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.78,23.89,21.81,25.65,22.0,19.37,21.83,37.2,27.01,25.96,,29.95,50.68,15.54,15.66,23.98,19.8,,23.2,25.62,20.54,28.0,19.02,24.18,18.0,37.19,24.8,,25.1,24.53,2709.0,6024.0,,8733.0
200906,24,27124976,3775.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.78,23.89,21.81,25.65,22.0,19.37,21.83,37.2,27.01,25.96,,29.95,50.68,15.54,15.66,23.98,19.8,,23.2,25.62,20.54,28.0,19.02,24.18,18.0,37.19,24.8,,25.1,24.53,2709.0,6024.0,,8733.0
200906,25,27310246,3777.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.78,23.89,21.81,25.65,22.0,19.37,21.83,37.2,27.01,25.96,,29.95,50.68,15.54,15.66,23.98,19.8,,23.2,25.62,20.54,28.0,19.02,24.18,18.0,37.19,24.8,,25.1,24.53,2709.0,6024.0,,8733.0
200906,26,26977340,3780.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,20.78,23.89,21.81,25.65,22.0,19.37,21.83,37.2,27.01,25.96,,29.95,50.68,15.54,15.66,23.98,19.8,,23.2,25.62,20.54,28.0,19.02,24.18,18.0,37.19,24.8,,25.1,24.53,2709.0,6024.0,,8733.0
200907,27,26179586,3782.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.11,24.42,22.25,25.38,22.0,19.05,22.04,36.87,26.85,27.5,,29.11,50.63,15.83,15.31,23.69,20.17,,23.19,25.27,21.33,27.7,18.75,24.08,18.6,36.68,24.29,,25.94,24.89,2273.0,5354.0,,7627.0
200907,28,25430288,3780.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.11,24.42,22.25,25.38,22.0,19.05,22.04,36.87,26.85,27.5,,29.11,50.63,15.83,15.31,23.69,20.17,,23.19,25.27,21.33,27.7,18.75,24.08,18.6,36.68,24.29,,25.94,24.89,2273.0,5354.0,,7627.0
200907,29,25123192,3780.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.11,24.42,22.25,25.38,22.0,19.05,22.04,36.87,26.85,27.5,,29.11,50.63,15.83,15.31,23.69,20.17,,23.19,25.27,21.33,27.7,18.75,24.08,18.6,36.68,24.29,,25.94,24.89,2273.0,5354.0,,7627.0
200907,30,24524857,3785.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.11,24.42,22.25,25.38,22.0,19.05,22.04,36.87,26.85,27.5,,29.11,50.63,15.83,15.31,23.69,20.17,,23.19,25.27,21.33,27.7,18.75,24.08,18.6,36.68,24.29,,25.94,24.89,2273.0,5354.0,,7627.0
200908,31,24029356,3786.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.59,24.43,22.42,25.79,22.18,19.38,22.86,36.6,27.27,28.65,,29.02,50.58,15.95,15.57,23.97,20.5,,27.02,25.32,22.45,26.4,18.46,24.08,19.54,37.61,25.75,,26.21,25.66,3521.0,7590.0,,11111.0
200908,32,23143111,3784.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.59,24.43,22.42,25.79,22.18,19.38,22.86,36.6,27.27,28.65,,29.02,50.58,15.95,15.57,23.97,20.5,,27.02,25.32,22.45,26.4,18.46,24.08,19.54,37.61,25.75,,26.21,25.66,3521.0,7590.0,,11111.0
200908,33,22626459,3781.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.59,24.43,22.42,25.79,22.18,19.38,22.86,36.6,27.27,28.65,,29.02,50.58,15.95,15.57,23.97,20.5,,27.02,25.32,22.45,26.4,18.46,24.08,19.54,37.61,25.75,,26.21,25.66,3521.0,7590.0,,11111.0
200908,34,21658977,3780.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.59,24.43,22.42,25.79,22.18,19.38,22.86,36.6,27.27,28.65,,29.02,50.58,15.95,15.57,23.97,20.5,,27.02,25.32,22.45,26.4,18.46,24.08,19.54,37.61,25.75,,26.21,25.66,3521.0,7590.0,,11111.0
200908,35,20712580,3784.0,,9.8,9.7,10.7,9.6,10.1,9.6,9.4,11.1,8.9,11.0,10.0,10.4,9.7,8.8,9.4,9.9,9.9,10.5,9.5,8.7,10.3,9.3,9.4,9.2,9.2,9.6,10.5,9.5,10.8,9.2,10.0,9.8,10.0,6890700.0,1096700.0,1203700.0,55200.0,501200.0,409300.0,851400.0,884200.0,918200.0,970800.0,2326000.0,4564700.0,21.59,24.43,22.42,25.79,22.18,19.38,22.86,36.6,27.27,28.65,,29.02,50.58,15.95,15.57,23.97,20.5,,27.02,25.32,22.45,26.4,18.46,24.08,19.54,37.61,25.75,,26.21,25.66,3521.0,7590.0,,11111.0
