,Ireland_Milk_Price,Ireland_Milk_Price+1,Ireland_Milk_Price+2
6,42.34,41.76,39.04
7,41.76,39.04,38.55
8,39.04,38.55,37.1
9,38.55,37.1,36.9
10,37.1,36.9,35.25
11,36.9,35.25,36.52
12,35.25,36.52,35.45
13,36.52,35.45,38.17
14,35.45,38.17,37.58
15,38.17,37.58,33.31
16,37.58,33.31,31.47
17,33.31,31.47,31.95
18,31.47,31.95,30.01
19,31.95,30.01,30.79
20,30.01,30.79,28.75
21,30.79,28.75,28.16
22,28.75,28.16,27.1
23,28.16,27.1,27.97
24,27.1,27.97,29.23
25,27.97,29.23,31.08
26,29.23,31.08,30.98
27,31.08,30.98,29.43
28,30.98,29.43,28.26
29,29.43,28.26,27.58
30,28.26,27.58,24.18
31,27.58,24.18,24.08
32,24.18,24.08,23.99
33,24.08,23.99,23.5
34,23.99,23.5,24.47
35,23.5,24.47,27.0
36,24.47,27.0,29.91
37,27.0,29.91,32.83
38,29.91,32.83,36.32
39,32.83,36.32,35.06
40,36.32,35.06,35.45
41,35.06,35.45,34.18
42,35.45,34.18,31.66
43,34.18,31.66,31.66
44,31.66,31.66,32.63
45,31.66,32.63,33.6
46,32.63,33.6,34.96
47,33.6,34.96,37.68
48,34.96,37.68,40.79
49,37.68,40.79,41.95
50,40.79,41.95,41.86
51,41.95,41.86,40.59
52,41.86,40.59,39.43
53,40.59,39.43,37.0
54,39.43,37.0,33.31
55,37.0,33.31,31.08
56,33.31,31.08,31.17
57,31.08,31.17,31.66
58,31.17,31.66,31.76
59,31.66,31.76,33.41
60,31.76,33.41,37.0
61,33.41,37.0,38.75
62,37.0,38.75,39.04
63,38.75,39.04,36.9
64,39.04,36.9,34.28
65,36.9,34.28,34.38
66,34.28,34.38,32.63
67,34.38,32.63,31.66
68,32.63,31.66,31.47
69,31.66,31.47,31.95
70,31.47,31.95,31.08
71,31.95,31.08,31.95
72,31.08,31.95,34.48
73,31.95,34.48,36.61
74,34.48,36.61,37.29
75,36.61,37.29,36.52
76,37.29,36.52,34.67
77,36.52,34.67,34.86
78,34.67,34.86,31.66
79,34.86,31.66,30.01
80,31.66,30.01,30.59
81,30.01,30.59,31.76
82,30.59,31.76,32.83
83,31.76,32.83,33.89
84,32.83,33.89,36.61
85,33.89,36.61,39.14
86,36.61,39.14,39.14
87,39.14,39.14,37.49
88,39.14,37.49,35.64
89,37.49,35.64,37.2
90,35.64,37.2,37.1
91,37.2,37.1,36.61
92,37.1,36.61,37.49
93,36.61,37.49,37.39
94,37.49,37.39,37.2
95,37.39,37.2,39.23
96,37.2,39.23,42.44
97,39.23,42.44,46.52
98,42.44,46.52,48.65
99,46.52,48.65,48.46
100,48.65,48.46,46.03
101,48.46,46.03,47.59
102,46.03,47.59,48.95
103,47.59,48.95,51.28
104,48.95,51.28,53.61
105,51.28,53.61,55.45
106,53.61,55.45,57.78
107,55.45,57.78,59.73
108,57.78,59.73,64.29
109,59.73,64.29,68.47
110,64.29,68.47,69.24
111,68.47,69.24,68.18
112,69.24,68.18,59.34
113,68.18,59.34,54.38
114,59.34,54.38,45.84
115,54.38,45.84,41.66
116,45.84,41.66,40.79
117,41.66,40.79,39.43
118,40.79,39.43,38.75
119,39.43,38.75,38.32
120,38.75,38.32,40.01
121,38.32,40.01,42.34
122,40.01,42.34,43.41
123,42.34,43.41,44.19
124,43.41,44.19,43.41
125,44.19,43.41,44.67
126,43.41,44.67,44.58066
